Periodo,COMP_1,COMP_2,COMP_3,COMP_4,COMP_5,COMP_6,COMP_7,COMP_8,COMP_9,COMP_10
2003/01,43.06867201,49.90782723,30.43508898,26.313,28.002,46.482,,37.64814973,15.44481648,20.675
2003/02,42.4305433,50.11233625,28.46002899,25.162,30.172,46.768,,36.57434436,12.892219,19.86
2003/03,40.94535752,48.19717651,26.90263056,25.248,26.914,45.567,,35.42498398,12.59594352,17.725
2003/04,42.68873811,50.15981637,31.11541608,26.333,26.647,46.913,,38.37908619,12.57496789,17.489
2003/05,43.40108845,51.82674049,30.87710823,31.741,28.123,47.196,,38.91510382,12.92296608,17.801
2003/06,44.84782804,51.69075138,33.00901512,31.268,30.925,46.472,,41.0139553,14.16692431,17.601
2003/07,41.95289273,52.32757679,31.95256682,27.556,28.539,46.971,,39.10828481,14.72801133,18.17
2003/08,44.18020363,53.26602627,31.70543186,26.303,28.079,47.225,,37.38268416,14.23358796,19.022
2003/09,42.74839232,50.24717717,30.49660256,27.532,29.147,47.053,,35.34168586,13.87764945,18.998
2003/10,43.02432816,51.35370104,30.76547982,29.007,30.675,47.04,,37.04584119,13.62123029,19.627
2003/11,41.79868579,51.76393723,28.37117946,27.859,27.3,45.243,,38.90386078,13.64910577,19.424
2003/12,41.72308612,51.02987083,28.00584021,28.077,29.108,45.915,,35.14454746,13.92896518,18.556
2004/01,41.81081377,50.6265295,28.19439281,25.841,24.997,47.399,,32.58307757,11.98969502,19.032
2004/02,42.19418556,50.62183615,28.34369478,25.063,28.605,46.34,,36.81989291,13.1157082,18.453
2004/03,41.52645094,50.93629197,29.94549827,29.634,28.583,46.639,,35.85334599,13.41892748,18.729
2004/04,42.67156942,51.21868236,29.18971799,28.869,27.7,47.111,,36.6481812,12.9194712,16.485
2004/05,43.10112693,52.08573542,35.88901355,34.722,30.96,47.219,,36.54203323,13.63871731,19.94
2004/06,43.11085479,52.03106218,30.73118028,31.372,29.482,48.606,,38.31477635,13.1709505,18.515
2004/07,42.64896447,51.70934541,30.36601015,29.646,28.209,47.982,,37.20810964,12.22556605,17.732
2004/08,43.02777122,51.89897897,30.65425587,25.994,28.605,46.725,,36.55009789,11.41228759,16.415
2004/09,42.63054675,52.0947477,30.27726425,27.854,24.803,46.597,,38.65187373,11.09128448,16.364
2004/10,42.49178968,52.0422001,27.93211153,26.652,28.466,46.431,,39.76349744,10.94171238,15.642
2004/11,43.49964992,51.92815156,32.16924153,27.663,29.879,46.893,,40.13264424,11.10508585,16.378
2004/12,43.09128405,52.23514268,32.08865756,26.804,27.816,48.125,,40.78167458,11.29051176,18.011
2005/01,44.12383425,52.90740352,33.57644599,26.618,31.785,47.993,,40.52363153,11.68862468,17.322
2005/02,45.03021999,53.55701638,33.6390498,29.98,31.068,50.053,,41.55319391,12.64507142,17.976
2005/03,44.78544973,53.17467126,33.14238328,29.916,28.787,49.096,,40.6919077,11.5466364,18.677
2005/04,43.92031983,52.63053389,32.62003185,29.56,27.557,48.439,,40.60874536,10.82518645,17.199
2005/05,43.24678149,51.54704845,30.37147037,27.697,27.415,48.65,,40.09864525,11.93790572,18.692
2005/06,43.77963457,52.44264467,33.0934705,30.874,28.259,49.592,,39.7737739,10.67467376,16.951
2005/07,44.25025835,51.66742678,32.8674058,29.073,29.686,47.496,,39.54798688,11.31118377,15.894
2005/08,43.61201535,50.64590928,31.86676751,27.906,26.428,47.882,,41.02822571,11.50632583,16.543
2005/09,44.5514869,52.48699147,34.12857229,29.828,28.55,48.349,,39.85725094,12.10633348,17.158
2005/10,45.28749114,53.36364569,33.23444125,29.403,31.12,48.888,,41.24853186,12.87808435,19.173
2005/11,46.29417487,54.37770148,35.29253375,31.795,31.413,50.418,,41.68975104,13.51171024,18.609
2005/12,46.76041815,55.31427997,36.47236956,32.943,34.484,51.292,,42.79252224,12.8345364,21.318
2006/01,45.86949075,55.10152714,36.40352616,30.012,32.296,51.198,,42.7514295,13.09528823,19.779
2006/02,46.42078659,55.24118672,37.70053192,36.101,35.204,49.984,,43.61890257,13.71798058,19.009
2006/03,46.99443298,54.87701154,39.86142869,34.905,34.544,52.077,,45.97172802,13.24660436,19.433
2006/04,47.02270456,56.37127804,37.24128093,38.958,35.662,52.583,,44.7679179,13.40695907,18.619
2006/05,46.98757509,53.70984584,36.80128729,34.181,33.278,49.696,,46.2006749,12.87853574,19.752
2006/06,46.84280297,55.14628104,36.39732341,30.719,34.151,51.415,,47.16091919,12.161951,17.332
2006/07,46.79423395,56.17480848,37.72390789,32.857,33.138,52.036,,49.02985526,14.07020223,17.838
2006/08,45.87794038,55.22717342,38.36194033,34.119,34.91,51.784,,47.72371891,15.92955288,20.464
2006/09,47.04262393,55.93227516,36.9583035,36.146,33.542,52.178,,47.86153309,14.01133243,18.186
2006/10,47.78522351,55.8677198,37.41800597,34.56,31.748,51.5,,47.25418515,14.531752,19.604
2006/11,45.90998762,54.10644017,36.38629799,31.688,31.17,50.044,,47.34069764,13.52547929,17.813
2006/12,45.84517518,54.29611317,36.12333323,34.421,34.448,51.83,,47.72883642,14.05278528,18.581
