Banco de México,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tasas y precios de referencia,,,,,,,,,,,,,,
Vector de precios de títulos gubernamentales (on the run),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Fecha de consulta: 25/06/2020 08:25:25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Título,"Vector de precios de títulos gubernamentales, Cetes 28 días - Tasa Rendimiento","Vector de precios de títulos gubernamentales, Cetes 91 días - Tasa Rendimiento","Vector de precios de títulos gubernamentales, Cetes 182 días - Tasa Rendimiento","Vector de precios de títulos gubernamentales, Cetes 364 días - Tasa Rendimiento","Vector de precios de títulos gubernamentales, Bonos 0 a 3 años - Cupón Vigente","Vector de precios de títulos gubernamentales, Bonos 3 a 5 años - Cupón Vigente","Vector de precios de títulos gubernamentales, Bonos 5 a 7 años - Cupón Vigente","Vector de precios de títulos gubernamentales, Bonos 7 a 10 años - Cupón Vigente","Vector de precios de títulos gubernamentales, Bonos 10 a 20 años - Cupón Vigente","Vector de precios de títulos gubernamentales, Bonos 20 a 30 años - Cupón Vigente",Udibonos a 3 años - Cupón Vigente,"Vector de precios de títulos gubernamentales, Udibonos 10 años - Cupón Vigente","Vector de precios de títulos gubernamentales, Udibonos 20 años - Cupón Vigente","Vector de precios de títulos gubernamentales, Udibonos 30 años - Cupón Vigente"
Periodo disponible,16/05/2003 - 25/06/2020,16/05/2003 - 25/06/2020,16/05/2003 - 25/06/2020,16/05/2003 - 25/06/2020,16/05/2003 - 25/06/2020,16/05/2003 - 25/06/2020,16/05/2003 - 25/06/2020,16/05/2003 - 25/06/2020,16/05/2003 - 25/06/2020,26/10/2006 - 25/06/2020,04/10/2007 - 25/06/2020,16/05/2003 - 25/06/2020,29/12/2005 - 25/06/2020,29/12/2005 - 25/06/2020
Periodicidad,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria
Cifra,Tasas Promedio,Tasas Promedio,Tasas Promedio,Tasas Promedio,Tasas Promedio,Tasas Promedio,Tasas Promedio,Tasas Promedio,Tasas Promedio,Tasas Promedio,Tasas Promedio,Tasas Promedio,Tasas Promedio,Tasas Promedio
Unidad,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Base,,,,,,,,,,,,,,
Aviso,,,,,,,,,,,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles
Fecha,cetes_28,cetes_91,cetes_182,cetes_364,bonos_0_3,bonos_3_5,bonos_5_7,bonos_7_10,bonos_10_20,bonos_20_30,udibonos_3y,udibonos_10y,udibonos_20y,udibonos_30y
16/05/2003,5.805165,6.060452,6.740974,7.059073,9,9,9,9,N/E,N/E,N/E,5.5,N/E,N/E
19/05/2003,5.7621,6.376792,6.758556,7.146684,9,9,9,9,N/E,N/E,N/E,5.5,N/E,N/E
