Periodo,CONS,CONS_BYS_NAC,CONS_BIE_NAC,CONS_SERV_NAC,CONS_M,ISBS_MAY,ISBS_MEN,IIT_SERV_TOT,IIT_SERV_TRANSP,IIT_SERV_MED_MAS,IIT_SERV_INMOB,IIT_SERV_PROF,IIT_SERV_APOY,IIT_SERV_EDUC,IIT_SERV_SALUD,IIT_SERV_CULT,IIT_SERV_ALOJ,PROD_VEH_TOT,PROD_AUT,PROD_CAM,VENTA_AUTOS,M_BC_TOT,M_BC_NO_PETR,ANTAD,GASOLINAS
2001/01,78.99627264,81.89880667,89.8227177,74.0550257,54.14300721,,,,,,,,,,,,,158515,109865,48650,57721,1602.113481,1378.898073,56.92836693,538.6802098
2001/02,79.12335326,81.78419431,89.31018773,74.24469049,54.22442812,,,,,,,,,,,,,147414,102438,44976,56082,1537.386315,1422.059473,47.96303601,541.641594
2001/03,79.44774553,82.05349521,89.5350125,74.53078734,55.48012888,,,,,,,,,,,,,166713,114880,51833,55398,1701.390189,1450.075206,52.30834459,553.5207025
2001/04,79.20301105,82.21039825,89.76980009,74.36164623,51.58407109,,,,,,,,,,,,,144761,95326,49435,41801,1611.293404,1334.769048,55.27700867,535.7059472
2001/05,79.22671715,82.15539616,89.73272507,74.37597566,53.34141764,,,,,,,,,,,,,162290,104885,57405,47976,1723.797973,1386.458114,56.36298509,562.6245855
2001/06,80.56870421,83.30029177,91.77377525,74.65922696,55.31281799,,,,,,,,,,,,,163618,105579,58039,50977,1604.88891,1430.43901,55.16985237,557.2329168
2001/07,79.39023575,82.25762216,89.49389717,74.74870233,53.26321092,,,,,,,,,,,,,132450,86064,46386,54468,1553.346707,1436.145417,64.20122914,543.749784
2001/08,79.98250541,82.75466472,90.6665778,74.74268392,55.67542693,,,,,,,,,,,,,155249,100271,54978,61274,1684.172173,1488.130065,57.22730792,557.7528086
2001/09,80.28286258,82.96289517,91.32552621,74.51392149,55.2674342,,,,,,,,,,,,,156837,100340,56497,50387,1720.477404,1519.079489,56.19780802,524.2569322
2001/10,80.04334978,82.84114605,91.2050843,74.2565936,55.41161452,,,,,,,,,,,,,175165,107390,67775,52460,1699.416317,1488.624672,54.41397949,562.5096581
2001/11,80.08818962,82.73604517,91.06751618,74.26263632,56.80781346,,,,,,,,,,,,,165804,103733,62071,59862,1618.718282,1496.632804,56.36025767,559.7483791
