Periodo,ICC,ICC_1,ICC_2,ICC_3,ICC_4,ICC_5
2001/04,46.62924725,51.84970881,56.80429438,45.8906138,52.38461146,26.21700779
2001/05,45.18616477,49.8711811,56.18690974,45.3471469,49.83363455,24.69195154
2001/06,44.56824574,49.64717196,55.58746026,43.93381651,49.73005498,23.94272498
2001/07,46.87440469,50.911995,57.16349135,45.4149643,53.6440232,27.23754959
2001/08,47.69309267,51.42698411,58.6696249,44.6172308,52.97726456,30.77435899
2001/09,44.6099511,49.15008359,55.51317507,42.6662328,49.59622836,26.12403568
2001/10,41.46083784,46.6043934,53.05305526,37.36289466,43.24550473,27.03834115
2001/11,41.56670683,45.73196446,52.51327768,39.27321297,45.26018331,25.05489573
2001/12,43.20066647,47.12638166,55.71612097,37.34148641,46.99188969,28.82745363
2002/01,36.92755857,43.36166419,47.83742291,33.30235091,38.95817799,21.17817687
2002/02,37.59794211,43.49435044,50.56252921,33.55011123,40.31501187,20.06770779
2002/03,39.77921597,44.73887354,52.06111637,35.08978751,43.31907359,23.68722882
2002/04,39.83243164,44.61116927,51.67295953,36.58162993,43.45495626,22.84144318
2002/05,41.63004965,46.59661927,53.51002164,37.79979151,44.2805752,25.96324061
2002/06,41.54749951,46.66677718,53.10184249,37.42285145,43.50751563,27.03851078
2002/07,42.19627283,46.81634078,53.8526182,36.84252092,44.37388523,29.09599901
2002/08,42.53736585,45.19443022,53.75532791,38.26298722,44.38352764,31.09055627
2002/09,41.97772121,45.41754366,51.91703994,39.21359413,46.40437515,26.93605319
2002/10,41.00536495,45.79205864,51.63957705,36.6409637,43.41525963,27.53896575
2002/11,42.11152609,45.38345438,52.50536318,36.28623875,43.72791132,32.65466283
2002/12,42.91496161,44.97220623,53.46290816,37.63184978,45.54405706,32.96378684
2003/01,40.88497901,45.80409383,51.81597073,37.58119102,44.7006197,24.52301973
2003/02,39.14830906,44.68126456,51.70256336,37.08869281,42.66924782,19.59977677
2003/03,37.88214422,44.59001883,49.76515387,35.92082284,39.73392416,19.40080139
2003/04,40.00503171,46.53832354,51.64139459,37.02196287,43.22930708,21.59417048
2003/05,40.95756574,46.35965833,53.63114611,37.94166294,45.3754822,21.4798791
2003/06,41.35247052,46.19175981,52.42076908,39.30152027,46.7734156,22.07488786
2003/07,41.37735071,45.08397037,53.93113225,38.54503719,46.65299184,22.67362191
2003/08,41.07117188,45.89907507,54.63567195,36.82213566,45.26387232,22.73510441
2003/09,40.09595277,44.30846262,52.26413616,37.63056678,45.33988619,20.93671211
2003/10,39.82230359,44.24161873,53.01609167,37.68498504,44.13700421,20.03181832
2003/11,39.15511457,44.21349785,51.69238612,36.53173165,43.91117486,19.4267824
2003/12,39.6004501,44.17408218,52.47431235,35.94301301,44.61314581,20.79769714
2004/01,39.62982148,43.84264058,53.11745763,36.86084432,44.24804426,20.08012058
2004/02,39.43749142,44.56190696,52.36775894,36.58556683,43.73402854,19.93819582
2004/03,39.62675519,45.65853867,53.30101916,34.55150382,42.58515389,22.03756042
2004/04,39.75233085,45.76471073,51.80765552,36.51938442,43.34481246,21.32509111
2004/05,41.07909219,46.67685535,53.51759565,36.90299397,44.19897585,24.0990401
2004/06,41.079288,45.84493113,53.89109875,36.58910318,44.95032855,24.12097836
2004/07,39.83826874,44.37960234,53.73775972,36.05372339,43.64657068,21.37368756
2004/08,39.38257453,45.25258453,51.96627553,35.55866037,43.39047736,20.74487487
2004/09,40.08804318,44.58899479,53.91361766,36.15031682,43.85437768,21.93290895
2004/10,39.0998263,41.99982916,52.37610651,36.49029344,44.12668974,20.50621262
2004/11,39.16920634,45.03897839,51.08375921,35.30673816,43.78316773,20.63338822
2004/12,41.71213192,46.42206918,53.98430751,37.79445019,45.83455331,24.52527943
2005/01,42.01947719,46.6668099,54.4721104,38.27765333,46.47969254,24.20111977
2005/02,43.22258466,48.07917809,55.92904408,38.55758023,47.17061827,26.37650264
2005/03,42.86217349,48.18842606,55.83230269,38.11540981,46.58813358,25.58659531
2005/04,41.12419878,46.82538885,54.80252971,35.87112287,43.81162363,24.31032886
2005/05,40.65395042,45.97853207,53.42324439,36.31390889,44.9689349,22.58513184
2005/06,41.05583073,46.19613755,54.17484548,36.15614783,44.64424916,24.10777362
2005/07,41.12540408,45.79845325,53.75338724,37.96122339,45.54908738,22.56486913
2005/08,40.30823587,45.29214121,52.3481369,37.07223636,43.25421944,23.57444542
2005/09,41.70896378,46.35707756,53.73855874,38.57263605,44.26420143,25.61234511
2005/10,41.97155084,46.43799383,54.42805294,38.92617578,45.57849423,24.48703742
2005/11,42.10501353,47.49446618,54.81912277,39.24690311,45.47125209,23.49332352
2005/12,44.33279154,48.39337753,57.08223676,42.28254146,48.09324227,25.81255966
2006/01,43.9414984,48.32966971,57.20510607,39.77318003,47.23235499,27.1671812
2006/02,43.91002077,47.92318856,56.14185276,40.01377047,47.29909589,28.17219616
2006/03,45.60288109,49.96813445,58.01495247,41.32119517,48.46752529,30.24259807
2006/04,44.78543589,49.54001134,57.15893447,42.05265156,48.70530925,26.47027283
2006/05,44.65080419,49.51257959,55.43065654,42.08988718,48.08666511,28.13423254
2006/06,44.23393375,48.76613621,56.28174759,41.48407954,49.23069891,25.40700653
2006/07,44.86740553,49.15473824,56.58462012,42.43935177,49.56491676,26.59340078
2006/08,45.0382608,48.36870413,56.97708134,42.83154806,48.94938636,28.06458411
2006/09,45.06037442,49.1517763,57.42943356,41.37866407,49.19110394,28.15089422
2006/10,44.30164819,48.285787,56.14484122,39.96213431,49.67757658,27.43790182
2006/11,43.18828967,46.2455304,54.19670671,39.68864901,49.25555895,26.5550033
2006/12,44.78707406,47.64733406,56.03922192,41.34882221,51.97183171,26.9281604
2007/01,42.74122197,46.31810002,54.58739124,37.60541277,49.88941373,25.30579211
2007/02,42.37779473,46.54316284,54.78913746,36.9549701,47.58622529,26.01547796
2007/03,43.56773277,46.46074093,56.21152464,39.2291292,49.63051262,26.30675646
2007/04,43.44148672,47.83011516,55.62845977,39.7200005,47.75705936,26.27179881
2007/05,43.75340772,46.8291235,55.26593259,40.11610503,49.66569614,26.89018136
2007/06,43.06939622,46.07810126,55.47174367,39.7572374,48.41858853,25.62131023
2007/07,42.96288126,47.6066686,55.42854797,39.29245363,47.40962872,25.07710737
2007/08,43.98629168,47.81538034,55.57255997,40.02886418,48.87356882,27.64108512
2007/09,43.02376928,47.93986516,54.97402278,39.09143795,46.86628584,26.24723468
2007/10,41.26657039,46.61076839,54.25988122,36.56722399,42.17362697,26.72135137
2007/11,40.85683428,45.95298106,53.24269706,36.96367382,43.13058032,24.99423915
2007/12,42.82018079,46.98108961,54.46603746,38.33627693,46.00000683,28.31749311
2008/01,42.1822147,47.75279582,54.5999185,37.37769993,44.55774581,26.62291343
2008/02,41.22078841,46.42817552,53.53812411,36.68444057,43.6416272,25.81157465
2008/03,41.89644963,46.96391049,53.96327831,38.19672946,44.49224167,25.86608824
2008/04,40.15308101,46.27911718,52.6325795,35.248281,42.95036423,23.65506315
2008/05,38.91199637,45.11374323,51.45510101,34.5537098,42.03416153,21.40326628
2008/06,37.69026501,44.94458792,50.48225914,33.69491852,40.06208353,19.26747592
2008/07,36.7035231,43.23058155,49.65991165,32.91355325,38.73358017,18.97998886
2008/08,37.26160888,44.2888707,51.64555496,32.12091577,38.76027974,19.49242323
2008/09,36.65575702,43.55072144,49.91685248,30.50765553,38.72290391,20.58065174
2008/10,34.20780888,42.60499475,46.64224262,29.96269312,34.89484875,16.93426517
2008/11,34.94998133,42.28815023,47.98699382,29.59098222,37.04780064,17.83597976
2008/12,34.99866293,41.99452221,48.42122478,29.77614751,36.68254918,18.11887096
2009/01,34.4083577,41.13350601,47.45701691,29.7419705,37.93964257,15.76965249
2009/02,33.40230232,39.74623533,47.02191918,28.46001492,37.95194834,13.83139386
2009/03,33.47277155,39.12911465,46.63490458,28.64887872,38.26093973,14.69002007
2009/04,34.60027305,39.79297021,49.1853424,28.6927855,39.75883071,15.57143645
2009/05,33.19328072,38.42011998,47.31699184,27.4805521,39.13406644,13.61467322
2009/06,34.22559493,39.64861906,47.59933243,29.19638278,40.16007924,14.52356115
2009/07,36.05017421,41.32434719,51.11864841,29.99045514,42.0128042,15.8046161
2009/08,34.53055923,38.65761504,48.66881236,29.16424775,41.94883332,14.2132877
2009/09,34.49931091,39.66390683,48.05439824,29.14175604,40.34726583,15.28922764
2009/10,32.60958162,38.86490822,46.61159413,26.72027293,37.21005035,13.64108247
2009/11,33.17073952,38.68721714,47.63154197,27.3666413,38.65107202,13.51722516
2009/12,33.98648986,39.19933773,48.11920729,27.67041793,41.01310269,13.93038366
2010/01,34.80195221,40.06583115,49.00137041,29.0427794,41.66136581,14.23841428
2010/02,34.25856887,39.24730161,48.60335402,29.92687427,40.31714332,13.19817113
2010/03,34.66909444,39.60075374,49.02856865,29.32642705,41.25465033,14.13507246
2010/04,35.03605894,40.29643703,49.80757485,30.84831569,40.54813357,13.67983354
2010/05,35.59378742,40.00019236,49.47010582,31.34838864,41.45117993,15.69907034
2010/06,36.779917,41.73412389,50.29622812,32.87136638,42.8793328,16.11853379
2010/07,36.92788309,41.75509071,51.86341748,31.81811674,43.69578598,15.50700453
2010/08,37.20057009,41.87423688,51.18762724,32.47321529,43.26885355,17.19891749
2010/09,38.33026169,43.35611919,51.49992469,34.00953752,44.75969791,18.02602915
2010/10,37.40857817,42.00144092,51.21430943,32.81719239,43.93330931,17.07663878
2010/11,37.17735005,42.40755801,51.64473508,32.56669134,42.41548264,16.85228318
2010/12,38.17665419,42.82776047,51.86840672,33.69842051,44.59001538,17.89866784
2011/01,38.46236262,44.2424538,51.77748646,32.71980938,44.19237802,19.37968545
2011/02,38.44131067,43.05401466,51.92933962,34.37401335,43.8389834,19.01020235
2011/03,38.32326225,43.41857823,52.27227563,33.70026587,43.79598753,18.42920398
2011/04,37.62652075,42.75201967,51.46939506,32.56730481,43.88919071,17.45469347
2011/05,37.35970658,42.6598189,51.12810619,32.69716561,42.55052922,17.76291297
2011/06,38.76740437,43.56450435,52.46442749,33.94438591,44.54768302,19.31602108
2011/07,39.75370332,44.47202103,53.8238455,34.47634379,45.90395554,20.09235071
2011/08,38.90225749,43.02879082,53.10989078,34.28351204,44.65876784,19.43032599
2011/09,38.48225812,42.87705218,52.53552649,32.99635405,44.45207383,19.55028407
2011/10,37.70937468,42.95392901,51.67655508,32.63379104,41.97605439,19.30654388
2011/11,37.42383898,42.01135896,52.08857518,32.18244765,42.49489954,18.34191356
2011/12,37.71485478,43.01678406,51.21102235,32.39611061,42.03378311,19.91657375
2012/01,39.36042136,43.73792406,53.03219262,34.39065849,43.48179968,22.15953197
2012/02,38.9804324,44.32158973,52.1955787,34.8294607,44.09016884,19.46536401
2012/03,38.8750007,43.80605844,51.55718484,35.69289876,44.1743237,19.14453778
2012/04,40.22453261,44.975244,52.60684914,36.45258622,45.71233871,21.37564496
2012/05,39.73225356,43.51200761,52.45425941,35.60321948,45.19723593,21.89454538
2012/06,39.71325338,44.37253188,52.32867272,35.98016202,45.94392212,19.94097817
2012/07,41.14782555,45.30209906,54.99720483,37.28799638,47.76352827,20.38829919
2012/08,40.78320035,45.03008676,54.84995066,37.24154747,47.73990728,19.05450959
2012/09,39.3550225,44.33341327,53.36104202,34.2866311,46.19353191,18.6004942
2012/10,39.62933981,45.00054126,53.87810437,35.7611859,44.37973943,19.12712807
2012/11,39.12139479,43.64485391,51.77683535,35.62009563,44.8078706,19.75731844
2012/12,41.13950263,44.60534278,53.90637352,38.50988074,48.34750259,20.32841354
2013/01,41.61337585,45.90437946,54.82436288,38.84688036,48.16253982,20.32871673
2013/02,39.68821272,44.00510829,52.79641025,36.79023063,45.119002,19.73031243
2013/03,39.93393159,44.20433025,54.44768871,36.38625768,46.20030026,18.43108104
2013/04,39.83611171,44.09093293,53.13177149,36.00497192,46.12904255,19.82383967
2013/05,39.44711612,43.75195793,51.5275199,36.4273766,45.27778726,20.25093892
2013/06,38.77056184,43.13452895,51.25818672,35.94427919,44.25803494,19.2577794
2013/07,40.65621236,45.48970838,53.79930702,37.50701025,45.78716501,20.69787112
2013/08,40.53082193,46.33431678,53.46519287,36.97188032,45.73127326,20.15144642
2013/09,39.1824868,44.72178801,52.96664462,34.28823663,44.16660628,19.76915844
2013/10,38.07752281,44.26659247,51.84748507,34.11159905,41.82160699,18.34033047
2013/11,36.94645991,43.61239639,51.17076208,31.67096833,39.39707772,18.88109506
2013/12,37.37068748,43.09717249,50.96559135,33.13807171,41.04858794,18.60401387
2014/01,35.55082197,41.96977425,49.40367141,31.21231249,39.50212209,15.6662296
2014/02,35.73456928,42.29272488,50.48592404,32.08677162,39.08557178,14.72185408
2014/03,37.13514688,43.36756077,51.43981112,32.46195082,40.51560548,17.8908062
2014/04,37.61013368,44.09788632,51.04155778,33.05364097,41.0219149,18.83566842
2014/05,37.75133861,44.30194864,50.9323999,33.55091069,40.89405752,19.07737631
2014/06,37.90494923,44.65976216,50.70814711,33.62593793,41.72704493,18.803854
2014/07,37.55181328,43.39353154,50.4011896,34.16635617,40.2889701,19.50901898
2014/08,37.45015992,43.92256689,51.09213196,34.12299103,40.04042104,18.0726887
2014/09,38.21988818,44.3077274,51.48204449,35.042202,41.24326265,19.02420436
