Periodo,ICC,ICC_1,ICC_2,ICC_3,ICC_4,ICC_5
2001/04,46.90751951,51.21104759,57.13516722,45.79217812,52.66960938,26.92429017
2001/05,44.44380958,48.64129765,55.74110961,44.59814847,49.23992184,24.57590528
2001/06,44.013631,48.82550362,55.63260251,43.60797219,49.36459994,23.5636825
2001/07,46.13334802,50.54720438,56.18576094,44.64299173,53.11800649,25.9260248
2001/08,47.37977122,51.27548505,57.58612479,44.54589144,53.31853376,28.28086768
2001/09,44.65832632,49.63593046,56.14674327,41.7029449,49.16115542,26.24749936
2001/10,42.30082569,47.27273411,54.0082256,37.56937577,44.24220642,27.14126202
2001/11,42.78414316,46.43495257,54.38063326,40.48390483,46.49268271,26.57189452
2001/12,42.67700981,47.65659379,55.1716718,37.5005244,46.44386965,27.33577022
2002/01,36.84056898,43.96780748,47.82327621,33.2162044,38.38058585,22.61364237
2002/02,38.28490657,44.12239359,50.5099527,33.68949777,40.72142988,21.22210598
2002/03,39.48454045,44.0871487,51.29333631,35.99987936,43.0307521,23.77091289
2002/04,40.06495455,44.05097051,51.94721833,36.52162902,43.70850827,23.4117368
2002/05,40.92890021,45.49367898,53.14769168,37.22471954,43.77705414,25.72517836
2002/06,41.03988335,45.91254227,53.07967212,37.16643443,43.15951772,26.52129906
2002/07,41.60533599,46.53507389,53.01392067,36.20032912,43.92962478,27.92480277
2002/08,42.30137155,45.11855727,52.82007065,38.24206803,44.7420645,28.86069505
2002/09,42.02087853,45.86251255,52.49997669,38.39826194,46.11957971,26.91009445
2002/10,41.82907467,46.44707964,52.54144046,36.82002969,44.31866818,27.73875245
2002/11,43.34261815,46.05750897,54.32760606,37.38215425,44.88076135,34.7330727
2002/12,42.37361588,45.39759649,52.93559863,37.70733836,44.96111076,31.40684527
2003/01,40.77114856,46.37157324,51.74457865,37.51829138,44.0701806,25.93975291
2003/02,39.8113349,45.30266303,51.68005059,37.24011706,43.06855537,20.51392507
2003/03,37.50733014,43.86487466,48.96761092,36.69558108,39.41530155,19.32540902
2003/04,40.2182106,45.96373874,51.87765981,36.97268373,43.48571097,22.18522062
2003/05,40.28530008,45.34624149,53.39752426,37.41802808,44.9490469,21.11174098
2003/06,40.91351952,45.52059741,52.32419251,39.06334831,46.32393862,21.64022607
2003/07,40.95164868,44.91519484,53.25863293,37.93518076,46.20010241,22.08351066
2003/08,40.8952147,45.93192724,53.79686961,36.8062359,45.73679574,21.46175247
2003/09,40.13894297,44.72584361,52.79690321,36.98905825,45.29240699,20.76533044
2003/10,40.57675312,44.80062094,53.82250297,37.87544938,44.92005193,20.28703712
2003/11,40.26090503,44.88390217,53.39663787,37.5425667,44.95828805,20.69644246
2003/12,39.04539755,44.45352009,51.97277022,35.90192476,43.87496667,19.96724726
2004/01,39.53916911,44.25859603,52.99256477,36.88067434,43.68455919,20.92645892
2004/02,40.04457882,45.11004264,52.42764235,36.75594332,44.17519961,20.54126942
2004/03,39.13039393,44.89022065,52.35962849,35.06487632,42.20262297,21.72475254
2004/04,39.9031081,45.16120905,51.91719983,36.47379371,43.66109756,21.82187006
2004/05,40.46762391,45.88494118,53.48519459,36.47969262,43.82358487,23.59411101
2004/06,40.76250989,45.32161148,53.76862527,36.41510836,44.44257852,23.78953835
2004/07,39.58614531,44.32407391,53.26242327,35.49673737,43.22953977,21.23501994
2004/08,39.20427003,45.34243897,51.27980062,35.50917038,43.84708255,19.92739492
2004/09,40.12781296,44.89166041,54.35880781,35.70107696,44.03042819,21.61830488
2004/10,39.79738896,42.47596454,53.0198262,36.74714825,44.84159882,20.83191119
2004/11,40.24729877,45.7484154,52.63781023,36.15402407,44.81175941,21.96368962
2004/12,41.10807837,46.54109156,53.54424393,37.64405017,44.9111409,23.74359701
2005/01,41.95091276,46.95982383,54.2675142,38.43170636,46.00383593,24.7740571
2005/02,43.76540728,48.57610987,56.08357964,38.81813104,47.64609151,26.7273308
2005/03,42.22787999,47.40864647,54.78455206,38.4029939,46.09353336,24.92715755
2005/04,41.18255743,46.2192233,54.80946374,35.78337354,44.07522178,24.77034368
2005/05,40.14000754,45.43992535,53.57143902,35.93337008,44.59204652,22.04918528
2005/06,40.89752406,45.84986112,54.07167694,35.99886414,44.1402098,24.09625768
2005/07,41.03772978,45.80828037,53.43570407,37.43924254,45.23904606,22.9224553
2005/08,40.08198605,45.40455043,51.79599421,36.86802144,43.59034711,23.0119398
2005/09,41.64583198,46.51336895,53.95278132,38.29985428,44.50259903,25.01808319
2005/10,42.76232607,46.88541539,54.98342647,39.37118684,46.4431847,25.01090235
2005/11,43.25032706,48.27770924,56.354492,40.122935,46.55893336,24.83542973
2005/12,43.62872013,48.32591812,56.6587985,41.99768887,46.98777518,24.98656993
2006/01,43.86702574,48.43770798,57.0032966,40.00557396,46.8303164,27.44213109
2006/02,44.40090848,48.34475512,56.38708594,40.385116,47.80954333,28.22993011
2006/03,44.90004047,49.31287994,56.92094508,41.33379523,47.89086643,29.32888152
2006/04,44.70202438,48.90930433,56.991301,41.92253917,48.88127586,26.6261896
2006/05,44.27837606,49.33175893,55.77874101,41.80097486,47.70124347,27.71721522
2006/06,44.22783217,48.54045202,56.27915834,41.30973781,48.80804819,25.80648707
2006/07,44.83416027,49.10896223,56.29004725,41.73283751,49.1974192,27.45340205
2006/08,44.65019904,48.47599713,56.45805308,42.39337212,49.00003578,27.67609433
2006/09,44.8380252,49.06487143,57.42464205,41.17374747,49.38516203,27.20667415
2006/10,45.25320127,48.72545357,56.71420316,40.70927004,50.97167397,28.04689324
2006/11,44.34266861,46.97917822,55.50525396,40.55028225,50.59375103,27.78149225
2006/12,44.09840247,47.4670836,55.67749635,41.08949555,50.75875239,26.03101857
2007/01,42.61849498,46.24820982,54.40074211,37.85500603,49.49927764,25.3010954
2007/02,42.8001233,46.95010361,55.09575808,37.35997689,48.09389598,26.02153823
2007/03,42.97494505,46.07578201,55.28199978,39.14185585,49.01275358,25.5618693
2007/04,43.2611043,47.31865317,55.37808673,39.53541669,47.76669981,26.31373023
2007/05,43.5958481,46.959779,55.73329579,39.91520596,49.35581522,26.69014127
2007/06,43.13563393,45.89350454,55.58678322,39.46650815,48.12879203,26.333867
2007/07,42.90915199,47.41698166,55.03374279,38.58198741,46.97800617,26.08091567
2007/08,43.4951084,47.88947363,55.12571305,39.44067349,48.5846479,27.30544867
2007/09,42.61129167,47.66518268,54.75377145,38.87033324,46.79017196,25.11390049
2007/10,42.24584844,46.98178466,54.8329077,37.51745766,43.6604788,27.31425541
2007/11,41.91221387,46.64307015,54.28588102,37.81487012,44.42123174,25.84665016
2007/12,42.21146216,46.79711379,54.14912125,38.18916906,44.96324597,27.30948622
2008/01,42.02354445,47.48988495,54.52160766,37.64441619,44.2031667,26.48405679
2008/02,41.62854119,46.86148593,53.87215331,37.02722079,44.15006957,25.96515861
2008/03,41.50438581,46.88013966,53.26710036,38.1153638,44.0254941,25.41443797
2008/04,39.97418977,45.84311274,52.42093702,35.11840671,42.92403203,23.65967379
2008/05,38.97375064,45.52445578,51.95403857,34.47991341,41.9071748,21.45786348
