Periodo,AHORRO,AHORRO_INT,AHORRO_EXT
1993/01,349374.0128,274195.8887,69538.09552
1993/02,361640.928,283820.5961,71082.4303
1993/03,356690.052,275128.9799,83094.27
1993/04,369178.9097,313161.6677,67852.168
1994/01,433652.0186,340859.3735,87405.84124
1994/02,456887.015,348453.9709,98450.5645
1994/03,446344.2425,341498.6562,107372.874
1994/04,437663.6552,341842.5796,107838.773
1995/01,433683.5947,393853.6192,31628.62006
1995/02,442455.0806,437166.9837,-8314.14218
1995/03,481182.6667,477990.2705,11189.617
1995/04,582036.813,601238.9459,3756.236
1996/01,603555.6029,586717.1997,4144.574082
1996/02,637048.9939,625716.8764,-6945.102125
1996/03,695390.6835,678494.9802,26141.008
1996/04,759331.2125,731275.6667,54367.012
1997/01,813529.2706,787288.8868,8470.799727
1997/02,866643.109,811865.892,35595.81684
1997/03,921828.3367,848451.7651,80940.642
1997/04,981572.9507,890645.5133,118704.284
1998/01,1075951.684,954284.6103,108697.3618
1998/02,1092985.816,952792.922,119479.8279
1998/03,1163366.401,986021.9437,179072.946
1998/04,1226949.768,1073152.411,184420.897
1999/01,1225119.945,1069868.073,149849.2339
1999/02,1267961.118,1139784.716,104390.998
1999/03,1309735.485,1183999.819,118495.308
1999/04,1382773.217,1257506.29,162854.905
2000/01,1478657.529,1298243.156,184463.7812
2000/02,1549368.904,1380716.519,136438.7091
2000/03,1570352.881,1399911.222,150424.322
2000/04,1550821.04,1360560.885,237651.82
2001/01,1503506.687,1328639.835,182239.4602
2001/02,1459025.499,1292436.401,134929.7178
2001/03,1470204.444,1320387.665,123474.609
2001/04,1457220.517,1295342.827,213287.965
2002/01,1478183.044,1351518.532,132307.8189
2002/02,1525479.408,1397191.582,95262.90766
2002/03,1595095.909,1447189.374,116201.828
2002/04,1577719.204,1462336.258,173790.489
2003/01,1672736.727,1606588.722,77168.87521
2003/02,1640558.54,1556484.088,45295.36391
2003/03,1623686.917,1570180.373,19033.367
2003/04,1696340.656,1656443.593,100915.562
2004/01,1797884.971,1761470.517,56666.63439
2004/02,1992979.875,1967354.747,-24360.78879
2004/03,1991997.077,1914897.994,36794.086
2004/04,2022605.606,1895405.952,181832.763
2005/01,2051922.45,1909913.935,176310.5457
2005/02,1994809.898,1924948.496,25453.97903
2005/03,2047344.713,1977487.882,29323.717
2005/04,2170185.496,2106801.839,108339.424
2006/01,2252855.754,2243547.572,56947.61681
2006/02,2449031.913,2406363.652,-4094.271498
2006/03,2523028.681,2467787.984,9189.668
2006/04,2470863.988,2422616.504,76291.592
2007/01,2525748.821,2378048.525,207751.5213
2007/02,2597773.506,2454399.24,99502.49916
2007/03,2693656.333,2636838.646,18922.761
2007/04,2808457.937,2726802.899,98889.413
2008/01,2787621.356,2666047.141,184877.978
2008/02,2961783.222,2825073.349,87348.47578
2008/03,3020507.49,2830651.212,159043.513
2008/04,3128266.019,2805042.65,346520.014
2009/01,2711278.372,2662699.7,104593.6356
2009/02,2704318.071,2609792.628,42415.66372
2009/03,2837624.93,2571515.949,243030.07
2009/04,2874173.277,2828167.15,74408.587
2010/01,2996466.467,3020342.695,19366.82688
2010/02,3025806.232,2990903.012,-15679.13984
2010/03,3035656.457,2972187.795,28626.449
2010/04,3117562.442,2926533.549,247676.802
2011/01,3143926.376,3039278.054,135797.4574
2011/02,3306760.667,3143841.305,123593.0989
2011/03,3476554.627,3169145.929,239759.134
2011/04,3714448.465,3625606.263,159105.294
2012/01,3699501.847,3552888.714,188794.0998
2012/02,3837894.084,3726494.197,88683.69897
2012/03,3828140.237,3601842.057,123093.362
2012/04,3752332.498,3396995.169,421800.194
2013/01,3707975.125,3303302.206,455619.4418
2013/02,3672473.094,3244435.65,429817.402
2013/03,3630721.576,3240652.992,278887.607
2013/04,3641953.397,3257037.093,420772.106
2014/01,3683481.475,3335521.892,425621.0078
2014/02,3745447.887,3357123.139,402001.3983
2014/03,3877667.276,3604829.336,153208.001
2014/04,4008171.74,3701136.17,294415.828
2015/01,4101774.718,3698302.465,539091.909
2015/02,4255033.429,3786951.46,463579.197
2015/03,4501631.594,3885207.663,503925.83
2015/04,4434041.469,3933856.304,435078.284
2016/01,4651744.217,4212553.237,661948.1854
2016/02,4688761.587,4169533.278,467370.9901
2016/03,4827394.487,4348026.781,397759.689
2016/04,4980336.739,4585187.245,246865.224
2017/01,5062487.47,4494057.727,909172.4295
2017/02,5007840.957,4707383.682,153161.1927
2017/03,4984077.861,4578040.045,356858.325
2017/04,5098751.942,4776181.3,142495.226
2018/01,5240006.671,4868226.804,800781.9866
2018/02,5397254.216,4939340.227,235792.4921
2018/03,5410824.395,4929579.316,439496.176
2018/04,5345625.399,4943233.177,221906.285
2019/01,5316966.331,5072009.103,660162.6742
2019/02,5206634.937,5225801.705,-341526.5343
2019/03,5164243.442,5190821.084,-156567.362
2019/04,5069285.082,5098955.649,-156566.362
