Periodo,TDU,TD_O,TD_D,INPC,INF_MES,INF_ANU,bonos_0_3,bonos_3_5,Bonos_10_20,bonos_20_30
2000/01,,,,44.93083012,1.34,11.02,,,,
2000/02,,,,45.32938031,0.89,10.52,,,,
2000/03,,,,45.58068078,0.55,10.11,,,,
2000/04,,,,45.84001827,0.57,9.73,,,,
2000/05,,,,46.01137907,0.37,9.48,,,,
2000/06,,,,46.28392024,0.59,9.41,,,,
2000/07,,,,46.46446621,0.39,9.12,,,,
2000/08,,,,46.71978519,0.55,9.1,,,,
2000/09,,,,47.0610716,0.73,8.85,,,,
2000/10,,,,47.38513583,0.69,8.91,,,,
2000/11,,,,47.79028786,0.86,8.87,,,,
2000/12,,,,48.30767118,1.08,8.96,,,,
2001/01,,,,48.57547625,0.55,8.11,,,,
2001/02,,,,48.54332816,-0.07,7.09,,,,
2001/03,,,,48.85088778,0.63,7.17,,,,
2001/04,,,,49.09730863,0.5,7.11,,,,
2001/05,,,,49.20997046,0.23,6.95,,,,
2001/06,,,,49.32636377,0.24,6.57,,,,
2001/07,,,,49.19820196,-0.26,5.88,,,,
2001/08,,,,49.48968755,0.59,5.93,,,,
2001/09,,,,49.95038115,0.93,6.14,,,,
2001/10,,,,50.17613537,0.45,5.89,,,,
2001/11,,,,50.36514891,0.38,5.39,,,,
2001/12,,,,50.43489879,0.14,4.4,,,,
2002/01,,,,50.90047201,0.92,4.79,,,,
2002/02,,,,50.86774985,-0.06,4.79,,,,
2002/03,,,,51.12794844,0.51,4.66,,,,
2002/04,,,,51.40723497,0.55,4.7,,,,
2002/05,,,,51.51142923,0.2,4.68,,,,
2002/06,,,,51.76258618,0.49,4.94,,,,
2002/07,,,,51.91118135,0.29,5.51,,,,
2002/08,,,,52.1085603,0.38,5.29,,,,
2002/09,,,,52.42198356,0.6,4.95,,,,
2002/10,,,,52.65303609,0.44,4.94,,,,
2002/11,,,,53.07887728,0.81,5.39,,,,
2002/12,,,,53.3099298,0.44,5.7,,,,
2003/01,,,,53.52544068,0.4,5.16,,,,
2003/02,,,,53.67412245,0.28,5.52,,,,
2003/03,,,,54.01293041,0.63,5.64,,,,
2003/04,,,,54.1051442,0.17,5.25,,,,
2003/05,,,,53.93055967,-0.32,4.7,9,9,,
2003/06,,,,53.9751124,0.08,4.27,9,9,,
2003/07,,,,54.0533387,0.14,4.13,9,9,,
2003/08,,,,54.21548991,0.3,4.04,9,9,,
2003/09,,,,54.53823816,0.6,4.04,9,9,,
2003/10,,,,54.73820739,0.37,3.96,9,9,8,
2003/11,,,,55.19254161,0.83,3.98,9,9,8,
2003/12,,,,55.42981079,0.43,3.98,8.952,9,8,
2004/01,,,,55.77431735,0.62,4.2,8,8.429,8,
2004/02,,,,56.10794476,0.6,4.53,8,8,8,
2004/03,,,,56.29807094,0.34,4.23,8,8,8,
2004/04,,,,56.38303195,0.15,4.21,8,8,8,
2004/05,,,,56.24160294,-0.25,4.29,8,8,8,
2004/06,,,,56.33174451,0.16,4.37,8,8,8,
2004/07,,,,56.47939018,0.26,4.49,8,8,8,
2004/08,,,,56.82804118,0.62,4.82,8,8,8,
2004/09,,,,57.29791705,0.83,5.06,8,8,8,
2004/10,,,,57.69474717,0.69,5.4,8,8,8,
2004/11,,,,58.1868994,0.85,5.43,8,8,8,
2004/12,,,,58.30708815,0.21,5.19,8,8,8,
2005/01,4.493696616,3.951997868,3.636742112,58.30916037,0,4.54,8.143,8.619,8.762,
2005/02,4.684782522,3.773302437,3.551421713,58.50343099,0.33,4.27,9,9,10,
2005/03,4.873310457,3.627075374,3.632589692,58.76712098,0.45,4.39,9,9,10,
2005/04,4.599674358,3.363412283,3.566550268,58.97641519,0.36,4.6,9,9,10,
2005/05,5.053780891,3.303692649,3.677899636,58.82825146,-0.25,4.6,9,9,10,
2005/06,4.660315766,3.482156498,3.743540902,58.77178347,-0.1,4.33,9,9,10,
2005/07,4.700241276,3.923362696,3.575242489,59.00179988,0.39,4.47,9,9,10,
2005/08,4.809168628,3.670079746,3.434784444,59.07225536,0.12,3.95,9,9,10,
2005/09,4.381334411,3.578425997,3.340340242,59.30900649,0.4,3.51,9,9,10,
2005/10,4.29110465,3.385995388,3.260724882,59.45457994,0.25,3.05,9,9,10,
2005/11,4.240364301,2.939815286,3.147272529,59.88249335,0.72,2.91,9,9,10,
2005/12,4.163237904,2.770010587,3.173324732,60.25031239,0.61,3.33,9,9,10,
2006/01,4.285976986,3.477868755,3.202318169,60.60362589,0.59,3.94,8.818,8.364,10,
2006/02,4.49751058,3.745228364,3.521814727,60.69635773,0.15,3.75,8,8,10,
2006/03,4.249199752,3.31182028,3.335982341,60.77251181,0.13,3.41,8,8,10,
2006/04,4.421175254,3.195017931,3.38230605,60.86161727,0.15,3.2,8,8,10,
2006/05,4.156306615,2.839261212,3.146360523,60.59067451,-0.45,3,8,8,10,
2006/06,4.7256377,3.258833383,3.506301465,60.64299806,0.09,3.18,8,8,10,
